id;Movie;Budget;Box office;Release year;Rating;Popularity;Director;Producer
121;xXx: State of the Union;60000000;71073932;2005;4.9;14.995;Lee Tamahori;Arne Schmidt, Neal H. Moritz
122;Strange Days;42000000;7959291;1995;7.0;14.872;Kathryn Bigelow;Steven-Charles Jaffe, James Cameron
123;Rumble in the Bronx;7500000;32392047;1995;6.7;14.832;Stanley Tong;Barbie Tung
124;Taking Lives;45000000;65470529;2004;6.3;14.744;D.J. Caruso;Mark Canton, Bernie Goldmann
125;The Crimson Rivers;2365000;0;2000;6.9;14.736;Mathieu Kassovitz;Alain Goldman
126;The Bank Job;20000000;64822796;2008;6.8;14.669;Roger Donaldson;Charles Roven, Steve Chasman, Mairi Bett, Aaron Shuster
127;Shoot 'Em Up;39000000;26820641;2007;6.4;14.642;Michael Davis;Don Murphy, Rick Benattar, Jeff Katz, Susan Montford
128;Basic Instinct 2;70000000;38629478;2006;4.9;14.588;Michael Caton-Jones;Mario Kassar, Joel B. Michaels, Andrew G. Vajna, Aslan Nadery
129;Pride and Glory;30000000;31148328;2008;6.4;14.557;Gavin O'Connor;Greg O'Connor, Robert Hopes, Josh Fagin
130;The Boondock Saints II: All Saints Day;8000000;10629321;2009;6.0;14.525;Troy Duffy;Don Carmody, Chris Brinker
131;Be Cool;53000000;95226116;2005;5.4;14.422;F. Gary Gray;Danny DeVito, Michael Shamberg, Stacey Sher, David Nicksay
132;The Bone Collector;73000000;151493655;1999;6.7;14.253;Phillip Noyce;Martin Bregman, Michael Bregman, Louis A. Stroller
133;Another 48 Hrs.;38000000;153518974;1990;5.9;14.168;Walter Hill;Robert D. Wachs, Lawrence Gordon
134;Bless the Child;40000000;0;2000;5.2;14.162;Chuck Russell;Mace Neufeld
135;Lethal Weapon 4;140000000;285444603;1998;6.5;14.122;Richard Donner;Joel Silver, Richard Donner
136;Panic Room;48000000;196397415;2002;6.7;14.042;David Fincher;David Koepp, Ceán Chaffin, Gavin Polone, Judy Hofflund
137;Primal Fear;30000000;102616183;1996;7.7;14.018;Gregory Hoblit;Gary Lucchesi
138;Green Street Hooligans;0;3154346;2005;7.2;13.965;Lexi Alexander;Gigi Pritzker, Deborah Del Prete, Donald Zuckerman
139;Perfume: The Story of a Murderer;50000000;132180323;2006;7.2;13.946;Tom Tykwer;Bernd Eichinger, Gigi Oeri
140;The Punisher;33000000;54700105;2004;6.1;13.93;Jonathan Hensleigh;Gale Anne Hurd, Avi Arad
141;We Own the Night;21000000;54926886;2007;6.7;13.902;James Gray;Joaquin Phoenix, Nick Wechsler, Mark Wahlberg, Marc Butan
142;The Taking of Pelham 1 2 3;100000000;150166126;2009;6.3;13.83;Tony Scott;Richard Baratta, Todd Black, Jason Blumenthal
143;Ronin;55000000;70692101;1998;6.9;13.83;John Frankenheimer;Frank Mancuso Jr.
144;Patriot Games;45000000;178051587;1992;6.6;13.8;Phillip Noyce;Mace Neufeld, Robert Rehme
145;Police Story 3: Super Cop;900000;20483423;1992;6.7;13.767;Stanley Tong;Willie Chan
146;Training Day;45000000;104876233;2001;7.4;13.762;Antoine Fuqua;Jeffrey Silver, Robert F. Newmyer
147;Brooklyn's Finest;17000000;36440201;2009;6.4;13.745;Antoine Fuqua;John Thompson, Basil Iwanyk, Joe Napolitano, John Langley, Elie Cohn, Jeanne O'Brien-Ebiri, Kat Samick
148;Boys Don't Cry;2000000;11540607;1999;7.5;13.626;Kimberly Peirce;John Hart, Eva Kolodner, Christine Vachon, Jeffrey Sharp, Brad Simpson, Morton Swinsky
149;Kiss the Girls;27000000;60527873;1997;6.4;13.597;Gary Fleder;David Brown, Joe Wizan, Steve Wizan
150;Home Alone 4;0;0;2002;4.3;13.571;Rod Daniel;Mitch Engel
151;Miami Vice;135000000;163794509;2006;5.9;13.568;Michael Mann;Michael Mann, Pieter Jan Brugge
152;Hostage;52000000;77944725;2005;6.3;13.55;Florent-Emilio Siri;Bruce Willis, Bob Yari, Mark Gordon, Arnold Rifkin
153;Eastern Promises;51500000;56106607;2007;7.4;13.541;David Cronenberg;Robert Lantos, Paul Webster
154;Point Break;24000000;83531958;1991;7.1;13.482;Kathryn Bigelow;James Cameron, Peter Abrams, Robert L. Levy
155;The Naked Gun 2½: The Smell of Fear;23000000;86930411;1991;6.8;13.415;David Zucker;Robert K. Weiss, Jim Abrahams
156;Road to Perdition;80000000;181001478;2002;7.4;13.389;Sam Mendes;Sam Mendes, Richard D. Zanuck, Dean Zanuck
157;Vantage Point;40000000;151161491;2008;6.3;13.313;Pete Travis;Neal H. Moritz
158;The Interpreter;80000000;162944923;2005;6.3;13.286;Sydney Pollack;Tim Bevan, Eric Fellner, Kevin Misher
159;36th Precinct;0;0;2004;6.9;13.16;Olivier Marchal;Franck Chorot, Cyril Colbeau-Justin, Jean-Baptiste Dupont
160;My Super Ex-Girlfriend;0;60896147;2006;4.9;13.14;Ivan Reitman;Arnon Milchan, Gavin Polone
161;The Jackal;60000000;159330280;1997;6.2;13.091;Michael Caton-Jones;Kevin Jarre, Sean Daniel, James Jacks, Michael Caton-Jones
162;Freedom Writers;21000000;41170784;2007;7.8;13.081;Richard LaGravenese;Danny DeVito, Michael Shamberg, Stacey Sher
163;Hard Target;18000000;74189677;1993;6.2;13.076;John Woo;Sean Daniel, James Jacks
